,dialog,gameplan_prediction
491, What should I do today? <<TURN>>  We need to prepare breakfast <<TURN>>  Wat's first? <<TURN>>  Fill cofee in mug <<TURN>>  Mug is in sink <<TURN>>  Coffee is ready <<TURN>>  Take knife beside coffee maker <<TURN>>  Slice lettuce,Pickup Mug -- Pour Sink -- Place CounterTop -- Pickup Mug -- Place CounterTop -- Pickup Mug -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- Pickup Knife -- Slice Lettuce
492, what can i do <<TURN>>  make a slice of toast <<TURN>>  where is the bread? <<TURN>>  bread is on top of the fridge <<TURN>>  grab a knife <<TURN>>  knife is where the bread was <<TURN>>  ok,Open Fridge -- Pickup Bread -- Place CounterTop -- Pickup Knife
493, What should I do today? <<TURN>>  please make coffee <<TURN>>  mug is in the coffee maker <<TURN>>  now slice the lettuce in the sink <<TURN>>  knife is near the toaster <<TURN>>  Lettuce sliced <<TURN>>  slice the potato in the fridge <<TURN>>  Potato is sliced <<TURN>>  cook the potato <<TURN>>  How many potato slices are needed? <<TURN>>  one <<TURN>>  now slice the tomato in the fridfe <<TURN>>  Done <<TURN>>  Tomato sliced <<TURN>>  now place one slice of each on a plate <<TURN>>  two slices of lettuce <<TURN>>  Done <<TURN>>  one more lettuce pls <<TURN>>  Done <<TURN>>  now place this plate and the mug on the table,ToggleOn CoffeeMachine -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CoffeeMachine -- ToggleOff CoffeeMachine -- ToggleOn CoffeeMachine -- Pickup Knife -- Slice Lettuce -- Place CounterTop -- Open Fridge -- Pickup Potato -- Place CounterTop -- Pickup Knife -- Slice Potato -- Place CounterTop -- Pickup PotatoSliced -- Place Pan -- ToggleOn StoveKnob -- ToggleOn StoveKnob -- Pickup Tomato -- Place CounterTop -- Pickup Knife -- Slice Tomato -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup TomatoSliced -- Place Plate -- Pickup LettuceSliced -- Place Plate -- Pickup Plate -- Place CounterTop -- Pickup PotatoSliced -- Place Plate -- Pickup Plate -- Place CounterTop -- Pickup LettuceSliced -- Place Plate -- Pickup Plate -- Place DiningTable -- Pickup Mug -- Place DiningTable
494, How can I help? <<TURN>>  Could you help me make a sandwich <<TURN>>  I would like you first to slice and then toast some bread <<TURN>>  The bread and knife should be next to the sink <<TURN>>  Could you also slice up some lettuce using the knife <<TURN>>  the lettuce is on the counter,Pickup Knife -- Slice Bread -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place CounterTop -- ToggleOn Toaster -- Pickup Knife -- Slice Lettuce
495, hi <<TURN>>  what should I do? <<TURN>>  hi <<TURN>>  lets make salad <<TURN>>  lettuce is in the fridge <<TURN>>  grab a knife and slice lettuce <<TURN>>  wheres the knife? <<TURN>>  knife is on the stool <<TURN>>  done <<TURN>>  next <<TURN>>  slice tomato <<TURN>>  tomato is on the stool <<TURN>>  done <<TURN>>  place the components on a plate <<TURN>>  plate is in the bottom cabinet right next to 2nd stool <<TURN>>  the stool where you found the knife. <<TURN>>  top cabinets above the machine? <<TURN>>  no <<TURN>>  bottom cabinet <<TURN>>  next to stool <<TURN>>  done <<TURN>>  another tomato slice,Open Fridge -- Pickup Knife -- Slice Lettuce -- Slice Tomato -- Open Cabinet -- Place CounterTop -- Open Cabinet -- Open Cabinet -- Open Cabinet -- Close Cabinet -- Open Cabinet -- Pickup Plate -- Place CounterTop -- Pickup PepperShaker -- Place CounterTop -- Pickup LettuceSliced -- Place Plate -- Pickup TomatoSliced -- Place Plate -- Pickup TomatoSliced
496," hello <<TURN>>  what shoud I do <<TURN>>  take the bread from the table behind you <<TURN>>  behind <<TURN>>  wait <<TURN>>  first take the knife from the shelf beside that same table <<TURN>>  done <<TURN>>  now slice the brfead <<TURN>>  bread* <<TURN>>  bread is on the table <<TURN>>  done <<TURN>>  now take the slices of bread to the toaster <<TURN>>  toaster ison the right side to the wash basin <<TURN>>  toast the slices <<TURN>>  2 toasts <<TURN>>  done <<TURN>>  anything else? <<TURN>>  now find the lettuce on the left side  of the stove <<TURN>>  and slice it with knife <<TURN>>  done <<TURN>>  now place the toast and lettuce slice on the plate <<TURN>>  where is the plate? <<TURN>>  plate is on the table, right side of basin <<TURN>>  find the plate on the table",Pickup Knife -- Slice Bread -- Place DiningTable -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup Knife -- Slice Lettuce -- Place DiningTable -- Pickup Plate
497," What can I do first? <<TURN>>  hi <<TURN>>  lets prepare breakfast <<TURN>>  grab a clean mug and make coffee <<TURN>>  mug is on side stool <<TURN>>  Ok thanks <<TURN>>  Do I need to wash first? <<TURN>>  coffee is done <<TURN>>  ok, then what? <<TURN>>  grab a knife and slice lettuce <<TURN>>  where is knife? <<TURN>>  lettuce is in the microwave <<TURN>>  knife is in the fridge' <<TURN>>  done <<TURN>>  slice a tomato <<TURN>>  2 slices of potato needs to be cooked <<TURN>>  Where is the tomato? <<TURN>>  tomato is on dinning table",Pickup Mug -- Place CoffeeMachine -- ToggleOff Microwave -- Open Microwave -- Pickup Lettuce -- Place CounterTop -- Open Fridge -- Pickup Knife -- Slice Lettuce -- Place CounterTop -- Pickup Tomato -- Place CounterTop -- Pickup Knife -- Slice Tomato
498, hi <<TURN>>  what's the task <<TURN>>  are you there <<TURN>>  prepare coffee in a clean mug <<TURN>>  where is the mug <<TURN>>  inside the fridge,Pickup Mug -- Place CounterTop -- Pickup SoapBottle -- Place CounterTop -- Pickup Fork -- Place CounterTop -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CoffeeMachine
499," Hello, task please <<TURN>>  hi <<TURN>>  today lets cook potato <<TURN>>  I have potato, cook in microwave? <<TURN>>  grab a knife and slice the potato <<TURN>>  ok <<TURN>>  knife is on the black stool.",Pickup Potato -- Open Microwave -- Place Microwave -- Close Microwave -- ToggleOn Microwave -- ToggleOff Microwave -- Open Microwave -- Pickup Potato -- Close Microwave -- Place DiningTable -- Pickup ButterKnife -- Slice Potato
500, Please direct me commander <<TURN>>  I need directions <<TURN>>  turn around <<TURN>>  go to the top right area and grab the mug <<TURN>>  pick up the mug <<TURN>>  clean the dirty mug <<TURN>>  is it clean? <<TURN>>  empty out the mug and place it down <<TURN>>  yes,Open Fridge -- Close Fridge -- Pickup Mug -- Pour Sink -- Place CounterTop -- ToggleOff Faucet -- Pickup Mug -- Place  -- ToggleOn Faucet -- Pickup Mug -- Pour Sink -- Place CounterTop
501," what do i do <<TURN>>  hi <<TURN>>  lets make sandwich <<TURN>>  slice a bread using a knife <<TURN>>  knife is left to stove <<TURN>>  where is bresd <<TURN>>  top cabinet next to microwave <<TURN>>  bread is where <<TURN>>  the bread is in top cabinet next to microwave <<TURN>>  bread is sliced <<TURN>>  please toast the bread <<TURN>>  next <<TURN>>  we need to toast the bread <<TURN>>  using a toaster <<TURN>>  \bread is toasting <<TURN>>  good <<TURN>>  place it  on plate <<TURN>>  another slice of bread need to be toasted' <<TURN>>  place toasts on plate or what <<TURN>>  not necesarry <<TURN>>  slice  a tomato <<TURN>>  tomato is in the sink <<TURN>>  tomato sliced <<TURN>>  the bread slices need to be toasted <<TURN>>  tomato is sliced commander <<TURN>>  what next <<TURN>>  please keep all the items on a clean plate <<TURN>>  where is the plate <<TURN>>  under the sink cabinet <<TURN>>  u can see what i am doing right <<TURN>>  yes <<TURN>>  place the remaing items <<TURN>>  items cant all fit in a one plate <<TURN>>  what do i do <<TURN>>  place a slice of tomato in the plate <<TURN>>  and place the second toasted bread in the plate <<TURN>>  take the small piece of tomato , not the big one <<TURN>>  i think it wont fit <<TURN>>  change the tomato slice <<TURN>>  all tomatoes are cutting in big pieces <<TURN>>  how do i change <<TURN>>  the middle pieces are small ones <<TURN>>  remove the tomato first <<TURN>>  then <<TURN>>  get back to sliced tomatoes <<TURN>>  the three ones o the left <<TURN>>  that i sbig too <<TURN>>  that is an applke <<TURN>>  apple <<TURN>>  sorry where are the tomar <<TURN>>  tomatoes that is <<TURN>>  you sliced it second teime <<TURN>>  one piece of tomato only",Open Cabinet -- Pickup Bread -- Close Cabinet -- Place CounterTop -- Pickup Knife -- Place CounterTop -- Pickup Knife -- Slice Bread -- Place CounterTop -- ToggleOn Toaster -- Pickup Bread -- Place CounterTop -- ToggleOff Toaster -- Pickup Knife -- Slice Tomato -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- ToggleOn Toaster -- ToggleOff Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- ToggleOn Toaster -- Pickup BreadSliced -- Place CounterTop -- Open Fridge -- Pickup Apple -- Place CounterTop -- Pickup Knife -- Slice Apple -- Place CounterTop -- Open Cabinet -- Open Cabinet -- Open Cabinet -- Close Cabinet -- Pickup Plate -- Close Cabinet -- Place CounterTop -- Close Cabinet -- Pickup BreadSliced -- Place Plate -- Pickup BreadSliced -- Place CounterTop -- Pickup AppleSliced -- Place CounterTop -- Pickup AppleSliced -- Place CounterTop -- Pickup AppleSliced -- Place CounterTop -- Pickup Tomato -- Place CounterTop -- Pickup Knife -- Slice Tomato -- Place CounterTop -- Pickup TomatoSliced -- Place Plate -- Pickup BreadSliced -- Place CounterTop -- Pickup TomatoSliced -- Place CounterTop -- Pickup AppleSliced -- Place CounterTop -- Pickup TomatoSliced -- Place Plate -- Pickup TomatoSliced
502, hi <<TURN>>  what shall we do today <<TURN>>  cook a slice of potato <<TURN>>  the potato is on the round table <<TURN>>  how many slices <<TURN>>  cook one slice <<TURN>>  you need to empty the bowl <<TURN>>  i mean the pot <<TURN>>  where can i find pot <<TURN>>  the pot is the one next to the sinki. <<TURN>>  you are now holding a bowl not a pot <<TURN>>  clean the dirty bowl <<TURN>>  sorry pot <<TURN>>  switch the tap off first <<TURN>>  now put the dirty pot <<TURN>>  next to the sink <<TURN>>  you have put the bowl instead of the pot <<TURN>>  put that bowl down first on the counter <<TURN>>  pick the dirty empty pot in the sink to clean <<TURN>>  can you see the pot am talking about <<TURN>>  no,Pickup Potato -- Place DiningTable -- Pickup Knife -- Slice Potato -- Place DiningTable -- Pickup PotatoSliced -- Place CounterTop -- Pickup Pot -- Pour Sink -- Place CounterTop -- Pickup Bowl -- Pour Sink -- Place CounterTop -- Pickup Vase -- Place CounterTop -- Pickup Bowl -- Place CounterTop -- ToggleOff Faucet -- Pickup Bowl -- Place CounterTop -- Pickup Spatula -- Place CounterTop -- Pickup Bowl -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Bowl -- Place CounterTop -- Pickup Cup -- Place CounterTop -- Pickup Bowl -- Place CounterTop -- ToggleOff StoveKnob -- Pickup Cup -- Place CounterTop -- Pickup Lettuce -- Place CounterTop -- Pickup Vase -- Place CounterTop -- Pickup PotatoSliced -- Place CounterTop -- Open Microwave -- Pickup PotatoSliced -- Place CounterTop -- Pickup DishSponge -- Place CounterTop -- Pickup PotatoSliced -- Place Microwave -- Close Microwave -- ToggleOn Microwave -- ToggleOff Microwave -- Open Microwave
503, Whats the task? <<TURN>>  prepare coffee in a clean mug <<TURN>>  mug is just beside the stove <<TURN>>  take the mug and clean itin the wash basin <<TURN>>  pour out thewater inside the cup <<TURN>>  place the clean mug and turn on to fill with coffee <<TURN>>  done with coffee <<TURN>>  now take the bread which is just beside the stove <<TURN>>  slice it with knife <<TURN>>  knife?? <<TURN>>  knife is just below thw coffee maker <<TURN>>  on the chair <<TURN>>  next <<TURN>>  toast 2 slices of bread <<TURN>>  toaster is on the right side to the stove <<TURN>>  plate?? <<TURN>>  plate is inside the shelf below the wash basin <<TURN>>  right side one <<TURN>>  right side <<TURN>>  shelf below the tomato <<TURN>>  take that plate <<TURN>>  now take that tomato and make 2 slices <<TURN>>  sorry <<TURN>>  1 slice,Pickup Mug -- Place CounterTop -- ToggleOff Faucet -- Pickup Tomato -- Place CounterTop -- Pickup Mug -- Place Sink -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Place CounterTop -- Pickup Mug -- Place CounterTop -- Pickup Mug -- Pour  -- Place CoffeeMachine -- Pickup Mug -- Place CounterTop -- Pickup Mug -- Pour Sink -- Place CoffeeMachine -- Pickup Bread -- Place CounterTop -- Pickup Knife -- Slice Bread -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup Bread -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- Open Drawer -- Close Drawer -- Open Drawer -- Close Drawer -- Open Cabinet -- Open Cabinet -- Pickup Plate -- Place CounterTop -- Pickup BreadSliced -- Place Plate -- Pickup BreadSliced -- Place Plate -- Pickup Tomato -- Place CounterTop -- Pickup Knife -- Slice Tomato -- Place CounterTop
504," hi <<TURN>>  what should i do today <<TURN>>  we need to find the tomato <<TURN>>  ok <<TURN>>  there it is <<TURN>>  we need a knife <<TURN>>  what should i do next <<TURN>>  ok <<TURN>>  where can i find a knife <<TURN>>  open the drawer <<TURN>>  which one <<TURN>>  i can't tell <<TURN>>  please check the knife in the search bar <<TURN>>  thanks, it is in the microwave",Pickup Tomato -- Place CounterTop -- Open Microwave -- Pickup Knife
505," Hello, what is my task? <<TURN>>  Hi. Today you are preparing breakfast. <<TURN>>  Where should i start> <<TURN>>  You can start by preparing coffee in a clean mug <<TURN>>  done <<TURN>>  next? <<TURN>>  Serve a slice of apple on a plate",Pickup Mug -- ToggleOff Faucet -- Pour  -- Place CoffeeMachine -- ToggleOff CoffeeMachine -- ToggleOn CoffeeMachine -- Pickup ButterKnife -- Place CounterTop
506," Hello! What may I do for you today? <<TURN>>  hi <<TURN>>  today you need to slice a tomato <<TURN>>  Will do! <<TURN>>  knife is next to sink <<TURN>>  Thank you. tomato is sliced <<TURN>>  grab a plate,it is in the bottom cabinet under the coffee maker <<TURN>>  place 2 slices of tomato on the plate <<TURN>>  I think I have to put the plate back, move the things on top while it's in the cabinet and then put food on top. I keep trying to take off the things on top now and it won't let me, nor will it let me put down the tray as it is. <<TURN>>  ok <<TURN>>  just bring the tomato slices to it <<TURN>>  bring the tomato slices to the plate",Pickup Tomato -- Place CounterTop -- Pickup Knife -- Slice Tomato -- Place CounterTop -- Open Cabinet -- Pickup Plate -- Close Cabinet -- Open Cabinet -- Place Cabinet -- Pickup Cup -- Place CounterTop -- Pickup DishSponge -- Place CounterTop -- Pickup Plate -- Close Cabinet -- Open Cabinet -- Place Cabinet -- Pickup Knife -- Place CounterTop -- Pickup Plate -- Place CounterTop
507," hello, what should I do today? <<TURN>>  Hello. We need to make a plate of toast. <<TURN>>  The bread needs to be sliced using a knife. <<TURN>>  Where is the bread? <<TURN>>  I think in the drawer. <<TURN>>  on the shelf next to the fridge <<TURN>>  ok, i will check on the shelf for the bread <<TURN>>  I have the bread <<TURN>>  Great! <<TURN>>  Where can I find a knife? <<TURN>>  I am not sure. We will have to look around. <<TURN>>  I have the knife <<TURN>>  I have sliced the bread <<TURN>>  Okay. Put it in the toaster. <<TURN>>  I have a slice of bread in my hand now. <<TURN>>  okay. We need to clean the plate. <<TURN>>  Rinse with water in the sink. Then the toast needs to go on the plate. <<TURN>>  ok <<TURN>>  I have the plate <<TURN>>  I have to empty the sink first <<TURN>>  ok <<TURN>>  I cant seem to put the plate in the sink <<TURN>>  ok. It says to rinse with water. Is there another way to rinse with water? <<TURN>>  ok, I had to move to the side and now the plate is in the sink <<TURN>>  The plate is now clean <<TURN>>  ok! Now put toast on the clean plate. <<TURN>>  ok <<TURN>>  The toast is now on the plate <<TURN>>  Alright. Next, cook 2 slices of Potato and serve on a plate. <<TURN>>  The potato needs to be sliced using a knife. <<TURN>>  ok <<TURN>>  The potato is near the microwave. <<TURN>>  Where can I find the potato? <<TURN>>  ok <<TURN>>  I have the potato <<TURN>>  Alright let's slice it. <<TURN>>  I am now getting the knife",Open Fridge -- Close Fridge -- Open Drawer -- Close Drawer -- Open Drawer -- Close Drawer -- Open Cabinet -- Pickup Bread -- Place DiningTable -- Pickup Bread -- Place CounterTop -- Pickup Knife -- Slice Bread -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup WineBottle -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup Spoon -- Place CounterTop -- Pickup Plate -- Place CounterTop -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Plate -- Place CounterTop -- ToggleOn Faucet -- Pickup Plate -- Place  -- ToggleOff Faucet -- Pickup Plate -- Place CounterTop -- Pickup BreadSliced -- Place Plate -- Pickup Potato -- Place CounterTop -- Pickup Knife -- Slice Potato
508," hi, what should I do today? <<TURN>>  make a salad <<TURN>>  slice of lettuce <<TURN>>  knife <<TURN>>  knife is on the wooden rack <<TURN>>  where is a plate? <<TURN>>  'olate is on the chair <<TURN>>  slice a potato <<TURN>>  potato is in the woven <<TURN>>  cook 2 slice of potato <<TURN>>  where is the potato? <<TURN>>  potato is inside the microwoven",Pickup Knife -- Slice Apple -- Slice Lettuce -- Place DiningTable -- ToggleOff Faucet -- Pickup Plate -- Place DiningTable -- Pickup LettuceSliced -- Place Plate -- Pickup LettuceSliced -- Place Plate -- Open Cabinet -- Close Cabinet -- ToggleOff Microwave -- Open Microwave -- Pickup Potato -- Place DiningTable -- Pickup Knife -- Slice Potato -- Place DiningTable -- Pickup PotatoSliced -- Place Pan -- ToggleOn StoveKnob -- ToggleOn StoveKnob -- ToggleOff StoveKnob -- Pickup PotatoSliced
509, hi <<TURN>>  what's the task <<TURN>>  hello <<TURN>>  make 2 cups coffee plz <<TURN>>  where is the cup <<TURN>>  one at coffee pot <<TURN>>  one next to it <<TURN>>  Now turn off and back on coffee pot <<TURN>>  Is there something wrong with coffee pot? <<TURN>>  is there another coffee machine <<TURN>>  no <<TURN>>  If it won't turn on or pour we will finish and report glitch <<TURN>>  Yes. it worked <<TURN>>  Great job Now get bread from under sink and make 2 pieces of toast.,ToggleOff Faucet -- Pickup Vase -- Place CounterTop -- Pickup Apple -- Place CounterTop -- Pickup Fork -- Place CounterTop -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CounterTop -- Pickup Mug -- Pour  -- Place CoffeeMachine -- ToggleOff CoffeeMachine -- ToggleOn CoffeeMachine -- Pickup Mug -- Place CounterTop -- ToggleOff CoffeeMachine -- Pickup Mug -- Place CoffeeMachine -- ToggleOn CoffeeMachine -- Pickup Mug -- Place CounterTop -- Pickup Mug -- Place CounterTop -- Pickup Mug -- Place CoffeeMachine -- Open Cabinet -- Pickup Bread -- Place CounterTop -- Close Cabinet -- Pickup Bread -- Place CounterTop
510," Hello, what should I do today? <<TURN>>  We need to clean all the plates <<TURN>>  ok <<TURN>>  Where are the dirty plates? <<TURN>>  Can you help me find them? <<TURN>>  Plate is at the bottom cabinet under coffee maker <<TURN>>  Plate is dirty. <<TURN>>  Rinse it with water <<TURN>>  I have opened all 3 drawers under the coffee maker <<TURN>>  I do not see a dirty plate. <<TURN>>  Can you see a plate? <<TURN>>  Okay <<TURN>>  No <<TURN>>  Right of stove, there is a cabinet <<TURN>>  There is not a plate in any of the 3 drawers under the coffee maker. <<TURN>>  Open it and take out the dirty plate <<TURN>>  There is a knife in the top drawer. <<TURN>>  No problem <<TURN>>  Go near stove and open the cabinet <<TURN>>  To the left of right of the stove? <<TURN>>  right of the stove <<TURN>>  ok <<TURN>>  I have opened the cabinet on the bottom to the right of the stove. <<TURN>>  I have a dirty plate. <<TURN>>  rinse the plate with water <<TURN>>  The plate is now clean. <<TURN>>  What should I do next? <<TURN>>  Can you check in fridge for the other plate? <<TURN>>  OK <<TURN>>  I have a plate from the fridge. <<TURN>>  Rinse it with water",Open Drawer -- Open Cabinet -- Open Drawer -- Open Drawer -- Open Drawer -- Close Drawer -- Close Drawer -- Close Drawer -- Open Drawer -- Open Drawer -- Close Drawer -- Close Drawer -- Close Drawer -- Open Cabinet -- Pickup Plate -- Place CounterTop -- Pickup Cup -- Place CounterTop -- Pickup Plate -- ToggleOff Faucet -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Close Cabinet -- Open Fridge -- Pickup Plate -- Close Fridge -- Place CounterTop -- Pickup DishSponge -- Place CounterTop
511, Can you slice some lettuce with a knife <<TURN>>  the lettuce is in the cabinet above and to the right of the stove top <<TURN>>  and the knife is in the sink,Open Cabinet -- Pickup Lettuce -- Place CounterTop -- Pickup SoapBottle -- Place CounterTop -- Pickup DishSponge -- Place CounterTop -- Pickup Spoon -- Place CounterTop
512, what do i do today <<TURN>>  slice potato <<TURN>>  potato on the table <<TURN>>  along with knife <<TURN>>  sliced <<TURN>>  cook in microwave <<TURN>>  1 slice <<TURN>>  use bowl by microwave and place cook potato in it <<TURN>>  empty water first out the bowl before using it <<TURN>>  turn on <<TURN>>  no turn on <<TURN>>  nort cook,Pickup Knife -- Slice Potato -- Place DiningTable -- Pickup PotatoSliced -- Open Microwave -- Place Microwave -- Pickup DishSponge -- Place CounterTop -- Close Microwave -- Open Microwave -- Pickup PotatoSliced -- Place Microwave -- Close Microwave -- ToggleOn Microwave
513, what shall we do today <<TURN>>  make coffee in a clean mug please <<TURN>>  it is in the fridge <<TURN>>  ok now we need to make a sandwich <<TURN>>  slice the bread and toast it please <<TURN>>  you will also need to slice the lettuce and put it and the bread on a plate <<TURN>>  ok <<TURN>>  next <<TURN>>  ok  put it on the dining table please <<TURN>>  done,Open Fridge -- Pickup Mug -- Pour Sink -- Place CoffeeMachine -- Pickup Bread -- Place CounterTop -- Pickup Knife -- Slice Bread -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- Pickup Tomato -- Place CounterTop -- ToggleOn Toaster -- ToggleOff Toaster -- Pickup Tomato -- Place CounterTop -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- ToggleOn Toaster -- ToggleOff Toaster -- Pickup BreadSliced -- Place CounterTop -- Pickup BreadSliced -- Place CounterTop -- Pickup Lettuce -- Place CounterTop -- Pickup Knife -- Slice Lettuce -- Place CounterTop -- Pickup LettuceSliced -- Place CounterTop -- Pickup Plate -- Place CounterTop -- Pickup BreadSliced -- Place Plate -- Pickup LettuceSliced -- Place Plate -- Pickup BreadSliced -- Place Plate -- Pickup Plate -- Place DiningTable
514, Hello <<TURN>>  what's the task <<TURN>>  please cook one slice of potato <<TURN>>  potato is in the sink <<TURN>>  knife is in the bottom cabinet clooso to the trash bin <<TURN>>  drop the potato <<TURN>>  slice it <<TURN>>  I sliced it <<TURN>>  cook one slice <<TURN>>  put it on the plate by the sink,Pickup Potato -- Open Cabinet -- Place CounterTop -- Pickup Spatula -- Place Cabinet -- Pickup Knife -- Slice Potato -- Close Cabinet -- Place CounterTop -- Pickup PotatoSliced -- Place Pan -- ToggleOn StoveKnob -- ToggleOn StoveKnob -- Pickup PotatoSliced
515," hi, what should I do today? <<TURN>>  prepare coffee in a clean mug <<TURN>>  mug is on the white table <<TURN>>  now make a salad",ToggleOff Faucet -- Pickup Mug -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Mug -- Pour  -- Place CoffeeMachine -- ToggleOff CoffeeMachine -- ToggleOn CoffeeMachine -- ToggleOff CoffeeMachine -- Pickup Mug -- Place CounterTop -- Pickup ButterKnife -- Slice Lettuce
516," Hi what are my directions? <<TURN>>  i left my fruit out, could you put them in the fridge for me <<TURN>>  there is a couple on the table <<TURN>>  Do you mean Tomatoes? <<TURN>>  it's the tomato's i need in the fridge yes <<TURN>>  and the last one i was using was on the stove in a pot of water",Pickup Tomato -- Open Fridge -- Place Fridge -- Pickup Tomato -- Place Fridge -- Pickup Apple -- Place Fridge
517, hi <<TURN>>  what shall we do today <<TURN>>  cook a slice of potato <<TURN>>  the potato is on the round table <<TURN>>  how many slices <<TURN>>  cook one slice <<TURN>>  you need to empty the bowl <<TURN>>  i mean the pot <<TURN>>  where can i find pot <<TURN>>  the pot is the one next to the sinki. <<TURN>>  you are now holding a bowl not a pot <<TURN>>  clean the dirty bowl <<TURN>>  sorry pot <<TURN>>  switch the tap off first <<TURN>>  now put the dirty pot <<TURN>>  next to the sink <<TURN>>  you have put the bowl instead of the pot <<TURN>>  put that bowl down first on the counter,Pickup Potato -- Place DiningTable -- Pickup Knife -- Slice Potato -- Place DiningTable -- Pickup PotatoSliced -- Place CounterTop -- Pickup Pot -- Pour Sink -- Place CounterTop -- Pickup Bowl -- Pour Sink -- Place CounterTop -- Pickup Vase -- Place CounterTop -- Pickup Bowl -- Place CounterTop -- ToggleOff Faucet -- Pickup Bowl -- Place CounterTop -- Pickup Spatula -- Place CounterTop -- Pickup Bowl -- Place  -- ToggleOn Faucet -- ToggleOff Faucet -- Pickup Bowl -- Place CounterTop -- Pickup Cup -- Place CounterTop -- Pickup Bowl -- Place CounterTop -- ToggleOff StoveKnob
518," hi please cook a potato in the microwave <<TURN>>  what is my task today <<TURN>>  wher eis the potto <<TURN>>  potato <<TURN>>  potato is on oven? <<TURN>>  It is blinking on front burner <<TURN>>  weird <<TURN>>  After it is cooked, slice it and put 3 pieces on a plate.",Pickup Potato -- Open Microwave -- Place Microwave -- Pickup Knife -- Place CounterTop -- Close Microwave -- ToggleOn Microwave -- ToggleOff Microwave -- Open Microwave -- Pickup Potato -- Place CounterTop -- Pickup Knife -- Slice Potato -- Place CounterTop
519, my task <<TURN>>  hello <<TURN>>  my task today please <<TURN>>  fi <<TURN>>  hi <<TURN>>  lets make salad. <<TURN>>  slice lettuce using knife <<TURN>>  salad components atre which <<TURN>>  knife is in microwave. <<TURN>>  where is the knife <<TURN>>  cook a slice of potato <<TURN>>  where is it <<TURN>>  potato is next to microwave,ToggleOff Microwave -- Open Microwave -- Pickup Knife -- Close Microwave -- Slice Lettuce -- Place CounterTop -- Pickup Knife -- Slice Tomato -- Place CounterTop -- Pickup Potato -- Place Pot -- ToggleOn StoveKnob
520, what can i do today <<TURN>>  make toast <<TURN>>  slice bread on the counter <<TURN>>  then toast after you slice <<TURN>>  1 slice only,Pickup ButterKnife -- Slice Bread -- Place CounterTop -- Pickup BreadSliced -- Place Toaster -- ToggleOn Toaster -- ToggleOff Toaster
521, what can i do <<TURN>>  make a slice of toast <<TURN>>  where is the bread? <<TURN>>  bread is on top of the fridge <<TURN>>  grab a knife <<TURN>>  knife is where the bread was <<TURN>>  ok <<TURN>>  slice the bread <<TURN>>  sliced the bread <<TURN>>  now what <<TURN>>  slice 2 bread <<TURN>>  can't slice it again <<TURN>>  but i have 3 pieces <<TURN>>  ggrab plate on the chair <<TURN>>  only 2 slice <<TURN>>  chair in the corner <<TURN>>  after that toast the 2 sliced bread <<TURN>>  no <<TURN>>  in the corner <<TURN>>  left <<TURN>>  place on the counter and go toast the breads <<TURN>>  picked up the plate,Open Fridge -- Pickup Bread -- Place CounterTop -- Pickup Knife -- Slice Bread -- Place CounterTop -- Pickup Bread -- Place CounterTop -- Pickup Knife -- Place Sink -- Pickup BreadSliced -- Place CounterTop -- Pickup Knife -- Slice Lettuce -- Place CounterTop -- Pickup Book -- Place DiningTable -- Pickup Plate -- Place CounterTop
